id,scenario,video_uid,clip_uid,annotation_uid,query_idx,clip_start_sec,clip_end_sec,mIoU,query,Answer
32,Scooter mechanic,2763dbfc-8488-4264-b31f-4b12096c4c4b,b1bd830a-a738-4ebe-9e88-c348def0de90,acfc079e-7165-4508-8694-faddb6aacfc9,4,358.10,362.81,0.37,What did I put in bottle on sink?,water
33,Car mechanic,a743a90e-f46c-4e55-a94d-a7f11c771207,751201ad-5397-4956-a4f2-d73fb969b6c5,2b090649-95f0-4e45-ac75-42d944582858,1,49.12,53.40,0.37,Where was the can before I picked it up?,on the engine stand
34,Baker,115774b6-534d-444f-b7aa-d1b834eb0ee7,f748feb9-9a15-4f2b-9b65-186f90107c7c,ed904e38-6e0e-4e4e-9bfe-d4b28127fde4,7,659.27,673.89,0.35,What ingredient did i pour on the tray,flour
35,"Grocery shopping indoors
Walking on street",bd3a319e-0573-4802-a6d1-6d89910098e8,a35ac9e4-bb20-460e-9c9d-67806ab9d13f,e93f1e16-136d-4e25-8b89-1fa3d6c2b74e,4,79.00,85.40,0.40,How many bottles of coke was in the pack I took?,6
36,Carpenter,18a3840b-7463-43c4-9aa9-b1d8e486fa84,f04e8671-a8f1-4bf8-965b-38f45679ac0a,7bc5d786-fc59-49ad-8a0e-5e3f19e21456,0,5.31,18.95,0.33,What did I remove from the car?,white trim pieces
37,Cooking,3f0bd238-228d-4796-a3e4-820308fb04b0,cbcad1bb-1b90-4838-84d7-887ee99dfdd0,1ce5b1fc-63d9-4af2-9cb7-8de53f8bbf16,2,264.00,269.00,0.32,Where was the spatula before i picked it up?,in the drawer
38,"Grocery shopping indoors
Walking on street",bd3a319e-0573-4802-a6d1-6d89910098e8,a35ac9e4-bb20-460e-9c9d-67806ab9d13f,e93f1e16-136d-4e25-8b89-1fa3d6c2b74e,0,405.00,422.80,0.31,What price did I pay in total?,"21,93"
39,"Cleaning / laundry
Eating
Indoor Navigation (walking)
Talking with family members",30b9ff64-51c8-4481-ba6a-733ea2060aef,39f9a8a9-9979-475b-b4f9-1fa2eda064a4,9a7530dc-6af4-4e87-973a-8112169bb643,0,11.04,22.04,0.31,Who was with me when I operated the phone?,man X
40,Cooking,9f28e782-417c-4c8b-a7ae-42fc96a0e94f,d7b8f461-db42-4365-9f89-83f923528293,ccb33087-cfbe-47ba-9a13-3727880ed1fb,0,0.00,4.00,0.30,What chopping board did I wash?,the white cutting board
41,Baker,53da674a-089d-428a-a719-e322b2de002b,e4cf448f-e442-4e19-bf87-1eee8fbf59d8,b4118c52-8258-4f95-8812-03bfd8fef42e,6,351.82,358.61,0.33,How many oven tray did I put in the oven ?,2
42,Cooking,224c3de4-9683-462a-8eb4-224773425a7e,2276090d-3aab-4a4f-afbe-dcc083604160,260cbcea-d2a7-4c11-b944-4ed391a57606,2,310.11,338.80,0.28,How much food did I put in the plate?,all
43,Car mechanic,180b72fa-2102-414e-a6d5-2806e53f320c,5e1a8326-b006-423e-8294-0f9559c8eb18,9a089219-ef96-45fa-be4b-21ca0575bd1c,8,213.26,288.66,0.27,Where is my pressure drill?,"on the wall, next to the fire extinguisher."
44,Cooking,d0230ced-05b0-4cf0-93cb-e5ba78f36047,ac556354-22a5-4aee-a678-90aef12e0b4c,29211699-a701-49f7-8936-18fc8fa5fcf9,3,172.97,178.00,0.26,Where was the butter before I picked it?,in the refrigerator
45,Baker,53da674a-089d-428a-a719-e322b2de002b,e4cf448f-e442-4e19-bf87-1eee8fbf59d8,ec428ae0-93c2-4326-bb41-5c1ea12056fd,8,346.56,370.00,0.26,what did l put in the oven,the dough covered with sauce
46,Cleaning / laundry,9bf859f2-62ff-4f2e-9eb8-ef69feb4d343,ca304360-2402-4241-a6eb-5ff2f300546f,e0c0f9ff-3269-4d7f-8ccb-9148867166d1,1,74.15,114.90,0.26,What papers did I read?,the ones in the red folder
47,Making coffee,20525d50-586a-4792-bfdb-fd941ee64ea9,badca5ee-61fc-4d80-9991-7ce29ddee7be,82916af0-57da-4ea2-86ca-19a8d5ffd858,5,372.42,378.26,0.25,How many blouses did I move to the left of the rack?,3
48,Cooking,12946f28-5f4a-4ba5-8296-c08cbeeca501,0ca4506c-962d-4cf1-aa6d-f8222f53dee6,d8c3d311-7798-4d65-87ae-b6eb3385e2cc,2,199.31,208.79,0.24,Did I add oil to the frying pan?,yes
49,Making coffee,2fcd4744-c240-475e-a183-e923184e6e73,ce835abe-d7f3-47bc-8d5e-c9b7eb0aef85,00b912ca-3192-4312-b901-6720fce0a3d0,0,258.90,280.64,0.24,what did l put in the coffee maker?,coffe and water
50,Carpenter,5fce50cf-ebc5-4c09-8704-20c48fe42c7e,a690c387-fc3c-4596-9ec5-42496139d90b,49c661cc-3a02-42d2-b8cb-1341cf0fd7ac,6,233.95,237.29,0.22,Did I leave the door of the van open?,No
